Alabama|8732828|Weeks Bay, Mobile Bay,
Alabama|8735180|Dauphin Island, AL
Alabama|8735391|Dog River Bridge, AL
Alabama|8735523|East Fowl River Bridge, AL
Alabama|8736897|Coast Guard Sector Mobile, AL
Alabama|8737048|Mobile State Docks, AL
Alabama|8737138|Chickasaw Creek, AL
Alabama|8738043|West Fowl River Bridge, AL
Alabama|8739803|Bayou La Batre Bridge, AL
Alaska|9450460|Ketchikan, AK
Alaska|9451054|Port Alexander, AK
Alaska|9451600|Sitka, AK
Alaska|9452210|Juneau, AK
Alaska|9452400|Skagway, Taiya Inlet, AK
Alaska|9452634|Elfin Cove, AK
Alaska|9453220|Yakutat, Yakutat Bay, AK
Alaska|9454050|Cordova, AK
Alaska|9454240|Valdez, AK
Alaska|9455090|Seward, AK
Alaska|9455500|Seldovia, AK
Alaska|9455760|Nikiski, AK
Alaska|9455920|Anchorage, AK
Alaska|9457292|Kodiak Island, AK
Alaska|9457804|Alitak, AK
Alaska|9459450|Sand Point, AK
Alaska|9459881|King Cove, AK
Alaska|9461380|Adak Island, AK
Alaska|9461710|Atka, AK
Alaska|9462450|Nikolski, AK
Alaska|9462620|Unalaska, AK
Alaska|9463502|Port Moller, AK
Alaska|9464212|Village Cove, St Paul Island, AK
Alaska|9468333|Unalakleet, AK
Alaska|9468756|Nome, Norton Sound, AK
Alaska|9491094|Red Dog Dock, AK
Alaska|9497645|Prudhoe Bay, AK
Bermuda|2695535|Bermuda Biological Station,
Bermuda|2695540|Bermuda, St. Georges Island, Bermuda
California|9410170|San Diego, San Diego Bay, CA
California|9410230|La Jolla, CA
California|9410660|Los Angeles, CA
California|9410840|Santa Monica, CA
California|9411340|Santa Barbara, CA
California|9411406|Oil Platform Harvest, CA
California|9412110|Port San Luis, CA
California|9413450|Monterey, CA
California|9414290|San Francisco, CA
California|9414523|Redwood City, CA
California|9414750|Alameda, CA
California|9414863|Richmond, CA
California|9415020|Point Reyes, CA
California|9415102|Martinez-Amorco Pier, CA
California|9415144|Port Chicago, CA
California|9416841|Arena Cove, CA
California|9418767|North Spit, CA
California|9419750|Crescent City, CA
Map icon Caribbean/Central America
Caribbean/Central America|9751364|Christiansted Harbor, St Croix, VI
Caribbean/Central America|9751381|Lameshur Bay, St John, VI
Caribbean/Central America|9751401|Lime Tree Bay, VI
Caribbean/Central America|9751639|Charlotte Amalie, VI
Caribbean/Central America|9752235|Culebra, PR
Caribbean/Central America|9752619|Isabel Segunda, Vieques Island, PR
Caribbean/Central America|9752695|Esperanza, Vieques Island, PR
Caribbean/Central America|9755371|San Juan, La Puntilla, San Juan Bay, PR
Caribbean/Central America|9757809|Arecibo, PR
Caribbean/Central America|9759110|Magueyes Island, PR
Caribbean/Central America|9759394|Mayaguez, PR
Caribbean/Central America|9759938|Mona Island,
Connecticut|8461490|New London, CT
Connecticut|8465705|New Haven, CT
Connecticut|8467150|Bridgeport, CT
Delaware|8551762|Delaware City, DE
Delaware|8551910|Reedy Point, DE
Delaware|8555889|Brandywine Shoal Light, DE
